RC050,0,1,15771641
RC050,1,2,15771642
RC050,2,3,15771643
RC050,3,4,15771644
RC050,4,5,15771645
RC050,5,6,15771646
RC050,6,7,15771647
RC050,7,8,15771648
RC050,8,9,15771649
RC050,9,10,15771650
RC050,10,11,15771651
RC050,11,12,15771652
RC050,12,13,15771653
RC050,13,14,15771654
RC050,14,15,15771655
RC050,15,16,15771656
RC050,16,17,15771657
RC050,17,18,15771658
RC050,18,19,15771659
RC050,19,20,15771660
RC050,20,21,15771661
RC050,21,22,15771662
RC050,22,23,15771663
RC050,23,24,15771664
RC050,24,25,15771665
RC050,25,26,15771666
RC050,26,27,15771667
RC050,27,28,15771668
RC050,28,29,15771669
RC050,29,30,15771670
RC050,30,31,15771671
RC050,31,32,15771672
RC050,32,33,15771673
RC050,33,34,15771674
RC050,34,35,15771675
RC050,35,36,15771676
RC050,36,37,15771677
RC050,37,38,15771678
RC050,38,39,15771679
RC050,39,40,15771680
RC050,40,41,15771681
RC050,41,42,15771682
RC050,42,43,15771683
RC050,43,44,15771684
RC050,44,45,15771685
RC050,45,46,15771686
RC050,46,47,15771687
RC050,47,48,15771688
RC050,48,49,15771689
RC050,49,50,15771690
RC050,50,51,15771691
RC050,51,52,15771692
RC050,52,53,15771693
RC050,53,54,15771694
RC050,54,55,15771695
RC050,55,56,15771696
RC050,56,57,15771697
RC050,57,58,15771698
RC050,58,59,15771699
RC050,59,60,15771700
RC050,60,61,15771701
RC050,61,62,15771702
RC050,62,63,15771703
RC050,63,64,15771704
RC050,64,65,15771705
RC050,65,66,15771706
RC050,66,67,15771707
RC050,67,68,15771708
RC050,68,69,15771709
RC050,69,70,15771710
RC050,70,71,15771711
RC050,71,72,15771712
RC050,72,73,15771713
RC050,73,74,15771714
RC050,74,75,15771715
RC050,75,76,15771716
RC050,76,77,15771717
RC050,77,78,15771718
RC050,78,79,15771719
RC050,79,80,15771720
RC050,80,81,15771721
RC050,81,82,15771722
RC050,82,83,15771723
RC050,83,84,15771724
RC050,84,85,15771725
RC050,85,86,15771726
RC050,86,87,15771727
RC050,87,88,15771728
RC050,88,89,15771729
RC050,89,90,15771730
RC050,90,91,15771731
RC050,91,92,15771732
RC050,92,93,15771733
RC050,93,94,15771734
